title,lable
糙米,newNode
颖果,newNode
蔗糖,newNode
葡萄糖,newNode
果糖,newNode
浆果,newNode
古柯,newNode
多个片段,newNode
泛素核糖体L40融合蛋白基因mRNA,newNode
小RNA,newNode
原始转录本,newNode
稻穗,newNode
花,newNode
S-和R-蛋氨酸亚砜,newNode
蛋氨酸残基,newNode
根表皮细胞,newNode
单核细胞,newNode
复合体,newNode
Hd1与Ghd7,newNode
叶芽,newNode
芽,newNode
花芽,newNode
双组分信号级联传递通路,newNode
Edh1与水稻中未知的组蛋白激酶,newNode
Edh1,newNode
花粉粒,newNode
小孢子,newNode
种子,newNode
胚珠,newNode
果实,newNode
子房,newNode
复合物,newNode
OsRR1,newNode
枝芽,newNode
真果,newNode
雌蕊的子房,newNode
假果,newNode
花托、花萼或者花序轴等其他部分,newNode
类似内外稃的器官,newNode
浆片和颖片,newNode
丝胺酸,newNode
天冬酰胺,newNode
叶原基,newNode
命运未决定的细胞,newNode
已经决定命运的细胞,newNode
用于制造淀粉的物质,newNode
SSA,newNode
SA,newNode
胚,newNode
受精卵,newNode
胚乳,newNode
受精极核,newNode
颖片,newNode
侧生小花,newNode
胚乳细胞,newNode
初生胚乳核,newNode
子囊孢子,newNode
菌核,newNode
分生孢子,newNode
胎盘孢子,newNode
稻,newNode
稻谷,newNode
稻花,newNode
胚芽,newNode
淀粉体单元,newNode
淀粉体,newNode
新淀粉体,newNode
原淀粉体,newNode
基质浓密小泡,newNode
大淀粉体,newNode
蛋白体Ⅰ,newNode
粗面内质网,newNode
proteinbodyⅠ,newNode
PbⅠ,newNode
RER,newNode
蛋白贮藏液泡,newNode
液泡,newNode
氦,newNode
氢,newNode
另一种物质,newNode
一种物质,newNode
不同的形式,newNode
生命,newNode
纤维状结构,newNode
物质,newNode
接收子复合物,newNode
钠钾帮浦与无接收子酪胺酸磷酸酶,newNode
气态水,newNode
蒸汽,newNode
小枝,newNode
稻株,newNode
水稻,newNode
第一个精子,newNode
第二个精子,newNode
三聚体化合物三聚氰胺,newNode
氨基氰分子,newNode
三聚体化合物,newNode
三聚氰胺,newNode
不凝结气体,newNode
外部空气,newNode
稳固的配合键,newNode
有机的配体可以和中心的金属原子,newNode
尸体,newNode
类似胚乳的器官,newNode
母体胚囊的其他细胞,newNode
主要养份储存处,newNode
胚囊外的细胞,newNode
底万,newNode
阿拉伯植物,newNode
稻曲病,newNode
黄绿色或黑绿色的孢子球,newNode
稻飞虱病,newNode
叶子明显发黄,newNode
植物枯萎,newNode
稻水蝇病,newNode
植株发育迟缓,newNode
水稻草状矮缩病,newNode
严重发育不全,newNode
黄化叶,newNode
叶子变黄,newNode
水稻胡麻斑病,newNode
叶斑小,newNode
水稻黄斑驳病毒病,newNode
发育迟缓,newNode
分蘖减少,newNode
叶片斑驳,newNode
花期延迟,newNode
圆锥花序不完全出现,newNode
植物死亡,newNode
水稻东格鲁病,newNode
叶片橙黄色,newNode
矮小瘦弱,newNode
分蘖量降低,newNode
恶苗病,newNode
植株异常伸长,newNode
分蘖少,newNode
产谷前死亡,newNode
鞘腐病,newNode
近穗部的叶鞘呈圆形,newNode
穗伸出障碍,newNode
水稻齿叶矮缩病,newNode
发育不良,newNode
耐寒性,newNode
叶色变化,newNode
耐冷性,newNode
抗寒性,newNode
直穗病,newNode
籽粒不育,newNode
穗子保持直立,newNode
水稻细菌性白叶枯病,newNode
白叶枯,newNode
黄绿叶基因,newNode
黄绿叶,newNode
白叶枯病,newNode
