HudongItem1,relation,HudongItem2
糙米,develop_from,颖果
蔗糖,develop_from,葡萄糖
蔗糖,develop_from,果糖
浆果,develop_from,古柯
多个片段,develop_from,泛素核糖体L40融合蛋白基因mRNA
小RNA,develop_from,原始转录本
稻穗,develop_from,花
S-和R-蛋氨酸亚砜,develop_from,蛋氨酸残基
根表皮细胞,develop_from,单核细胞
复合体,develop_from,Hd1与Ghd7
叶芽,develop_from,芽
花芽,develop_from,芽
双组分信号级联传递通路,develop_from,Edh1与水稻中未知的组蛋白激酶
双组分信号级联传递通路,develop_from,Edh1
花粉粒,develop_from,小孢子
种子,develop_from,胚珠
果实,develop_from,子房
复合物,develop_from,OsRR1
枝芽,develop_from,芽
真果,develop_from,雌蕊的子房
假果,develop_from,花托、花萼或者花序轴等其他部分
类似内外稃的器官,develop_from,浆片和颖片
丝胺酸,develop_from,天冬酰胺
叶原基,develop_from,命运未决定的细胞
已经决定命运的细胞,develop_from,已经决定命运的细胞
用于制造淀粉的物质,develop_from,蔗糖
SSA,develop_from,SA
胚,develop_from,受精卵
胚乳,develop_from,受精极核
颖片,develop_from,侧生小花
胚乳细胞,develop_from,初生胚乳核
子囊孢子,develop_from,菌核
分生孢子,develop_from,胎盘孢子
稻穗,develop_from,稻
稻谷,develop_from,稻花
胚芽,develop_from,胚珠
子房,develop_from,胚乳
淀粉体单元,develop_from,淀粉体
新淀粉体,develop_from,原淀粉体
基质浓密小泡,develop_from,大淀粉体
蛋白体Ⅰ,develop_from,粗面内质网
proteinbodyⅠ,develop_from,粗面内质网
PbⅠ,develop_from,粗面内质网
蛋白体Ⅰ,develop_from,RER
proteinbodyⅠ,develop_from,RER
PbⅠ,develop_from,RER
蛋白贮藏液泡,develop_from,液泡
氦,develop_from,氢
另一种物质,develop_from,一种物质
不同的形式,develop_from,生命
纤维状结构,develop_from,物质
接收子复合物,develop_from,钠钾帮浦与无接收子酪胺酸磷酸酶
气态水,develop_from,蒸汽
小枝,develop_from,稻株
稻穗,develop_from,水稻
胚,develop_from,第一个精子
胚乳,develop_from,第二个精子
三聚体化合物三聚氰胺,develop_from,氨基氰分子
三聚体化合物,develop_from,氨基氰分子
三聚氰胺,develop_from,氨基氰分子
不凝结气体,develop_from,外部空气
稳固的配合键,develop_from,有机的配体可以和中心的金属原子
菌核,develop_from,尸体
类似胚乳的器官,develop_from,母体胚囊的其他细胞
主要养份储存处,develop_from,胚囊外的细胞
底万,develop_from,阿拉伯植物
稻曲病,has_a_morphology_trait,黄绿色或黑绿色的孢子球
稻飞虱病,has_a_morphology_trait,叶子明显发黄
稻飞虱病,has_a_morphology_trait,植物枯萎
稻水蝇病,has_a_morphology_trait,植株发育迟缓
水稻草状矮缩病,has_a_morphology_trait,严重发育不全
黄化叶,has_a_morphology_trait,叶子变黄
水稻胡麻斑病,has_a_morphology_trait,叶斑小
水稻黄斑驳病毒病,has_a_morphology_trait,发育迟缓
水稻黄斑驳病毒病,has_a_morphology_trait,分蘖减少
水稻黄斑驳病毒病,has_a_morphology_trait,叶片斑驳
水稻黄斑驳病毒病,has_a_morphology_trait,花期延迟
水稻黄斑驳病毒病,has_a_morphology_trait,圆锥花序不完全出现
水稻黄斑驳病毒病,has_a_morphology_trait,植物死亡
水稻东格鲁病,has_a_morphology_trait,叶片橙黄色
水稻东格鲁病,has_a_morphology_trait,植株发育迟缓
水稻东格鲁病,has_a_morphology_trait,矮小瘦弱
水稻东格鲁病,has_a_morphology_trait,分蘖量降低
恶苗病,has_a_morphology_trait,植株异常伸长
恶苗病,has_a_morphology_trait,分蘖少
恶苗病,has_a_morphology_trait,产谷前死亡
鞘腐病,has_a_morphology_trait,近穗部的叶鞘呈圆形
鞘腐病,has_a_morphology_trait,穗伸出障碍
水稻齿叶矮缩病,has_a_morphology_trait,发育不良
耐寒性,has_a_morphology_trait,叶色变化
耐冷性,has_a_morphology_trait,叶色变化
抗寒性,has_a_morphology_trait,叶色变化
直穗病,has_a_morphology_trait,籽粒不育
直穗病,has_a_morphology_trait,穗子保持直立
水稻细菌性白叶枯病,has_a_morphology_trait,白叶枯
黄绿叶基因,has_a_morphology_trait,黄绿叶
白叶枯病,has_a_morphology_trait,半透明黄色小斑
白叶枯病,has_a_morphology_trait,灰白色
白叶枯病,has_a_morphology_trait,枯槁色
白叶枯病,has_a_morphology_trait,波纹状的黄绿或灰绿色病斑
隐性高秆,has_a_morphology_trait,茎秆最上部节间异常伸长
黑粉病,has_a_morphology_trait,小的黑色脓疱或者条纹
黑粉病,has_a_morphology_trait,短喙状或圆柱状突起
褐飞虱病,has_a_morphology_trait,茎秆枯黄
褐飞虱病,has_a_morphology_trait,叶片萎蔫
褐飞虱病,has_a_morphology_trait,整株死亡
褐飞虱病,has_a_morphology_trait,育性降低
杂种不育性,has_a_morphology_trait,雌配子不育
dl(t)表型,has_a_morphology_trait,叶片披垂
其他等位基因,has_a_morphology_trait,花器官发育异常
dm型半矮秆突变体DMF-1,has_a_morphology_trait,除第二节间伸长受抑制外，其它接近正常
dm型半矮秆突变体DMF-1,has_a_morphology_trait,第二节间伸长受抑制
日本晴的qSW5基因,has_a_morphology_trait,粒宽的增加
来自Kasalath的显性等位基因,has_a_morphology_trait,散生性状
杂种劣势现象,has_a_morphology_trait,分蘖少，茎秆短，叶色灰绿
杂种劣势现象,has_a_morphology_trait,分蘖少
杂种劣势现象,has_a_morphology_trait,茎秆短
杂种劣势现象,has_a_morphology_trait,叶色灰绿
sdt3基因的品种,has_a_morphology_trait,矮生
sdt3基因的品种,has_a_morphology_trait,多分蘖
sdt3基因的品种,has_a_morphology_trait,茎秆较软
sdt3基因的品种,has_a_morphology_trait,叶色偏淡
sdt3基因的品种,has_a_morphology_trait,抽穗较早
半矮秆突变单株,has_a_morphology_trait,高度明显变矮
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,半矮化
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,主根缩短
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,对24-表油菜素内酯过于敏感
转入拟南芥AtBAK1基因的水稻,has_a_morphology_trait,半矮化、主根缩短和对24-表油菜素内酯过于敏感
osmyoXIB缺乏突变体,has_a_morphology_trait,花粉败育
ep3突变体,has_a_morphology_trait,直立穗
lp的突变体,has_a_morphology_trait,花枝梗增多
lp的突变体,has_a_morphology_trait,籽粒数增加
lp的突变体,has_a_morphology_trait,抗倒伏
Os02g15950功能缺失突变体,has_a_morphology_trait,穗直立
Os02g15950功能缺失突变体,has_a_morphology_trait,气孔保卫细胞小于野生型
Os02g15950功能缺失突变体,has_a_morphology_trait,叶片光合能力和气孔导度均减弱
不育单株,has_a_morphology_trait,花药细小空瘪
d3突变体,has_a_morphology_trait,株高变矮
d3突变体,has_a_morphology_trait,分蘖增多
D3突变体,has_a_morphology_trait,腋生分生组织正常形成
d6突变体,has_a_morphology_trait,株高矮化
spl5突变体,has_a_morphology_trait,棕褐色斑点
D18的突变,has_a_morphology_trait,株高显著降低
d10突变体,has_a_morphology_trait,株高变矮
d10突变体,has_a_morphology_trait,分蘖增多
AA-pi21,has_a_morphology_trait,病斑较小
新泰矮,has_a_morphology_trait,茎秆较细
缺失D35,has_a_morphology_trait,严重矮化
不含有Sub1A基因,has_a_morphology_trait,淹涝敏感
